Language,language family,secondary family,Stress system type,Rightward primary stress,Consonant duration,Correlates for Primary/secondary different?,duration,pitch,intensity,Primary correlate,Vowel reduction,Length = contrastive,Length: affected by other qualities,Pitch = contrastive,final lapse,final lapse morpheme specific,source(s),"Uses contrastive length, duration is a  correlate","Uses contrastive pitch, pitch is a correlate","Uses contrastive length, duration is not a correlate","Uses contrastive pItch, pitch is not a correlate","Does not use contrastive length, duration is a correlate","Don't use contrastive pitch, pitch is a correlate","Does not use contrastive length, duration is not a correlate","Does not use contrastive pitch, pitch is not a correlate","TO REMOVE FOR CONSONANT DURATION: Contrastive length, duration correlate","TO REMOVE FOR CONSONANT DURATION: No contrastive length, duration correlate",Blank pitch correlate,Blank pitch contrast,,"Duration is a correlate, something written as a primary correlate","REMOVE: duration is a correlate, something written as primary correlate","Cons Dur = 1 REMOVE: duration is a correlate, something written as primary correlate","Cons Dur = 2 REMOVE: duration is a correlate, something written as primary correlate",Trying for pitch to make sure the same thing is true,,TO REMOVE FOR CONSONANT DURATION: duration primary correlate,oops TO REMOVE FOR CONSONANT DURATION: pitch primary correlate,oops TO REMOVE FOR CONSONANT DURATION: intensity primary correlate,"TO REMOVE FOR CONSONANT DURATION: pitch primary correlate, includes duration","TO REMOVE FOR CONSONANT DURATION: intensity primary correlate, includes duration","TO REMOVE FOR CONSONANT DURATION: duration primary correlate, includes pitch","TO REMOVE FOR CONSONANT DURATION: duration primary correlate, includes intensity",oops TO REMOVE FOR CONSONANT DURATION: pitch primary correlate,"oops TO REMOVE FOR CONSONANT DURATION: intensity primary correlate, includes pitch",,"TO REMOVE FOR LENGTH CONTRAST:  contrastive length, duration correlate","TO REMOVE FOR LENGTH CONTRAST: contrastive length, duration not correlate",,"Have one stress per word, have rightward stress; 1=final stress","Have final stress, pitch as correlate","Have final stress, pitch not a correlate",,"Have vowel reduction, have duration as a correlate","Have vowel reduction, don't have duration as a correlate","Don't have vowel reduction, have duration as a correlate","Don't have vowel reduction, don't have duration as a correlate",,"Has vowel reduction, is binary","Has vowel reduction, is not binary","Doesn't have vowel reduction, is binary","Doesn't have vowel reduction, is not binary",,"Has vowel reduction, has duration as a correlate, is binary","Has vowel reduction, doesn't have duration as a correlate, is binary","Doesn't have vowel reduction, has duration as a correlate, is binary","Doesn't have vowel reduction, doesn't have duration as a correlate, is binary",,"Has vowel reduction, has duration as a correlate, is not binary","Has vowel reduction, doesn't have duration as a correlate, is not binary","Doesn't have vowel reduction, has duration as a correlate, is not binary","Doesn't have vowel reduction, doesn't have duration as a correlate, is not binary",,"Just checking: Intensity is primary correlate, intensity is not a correlate","Just checking: Pitch is primary correlate, pitch is not a correlate","Duration is primary correlate, duration is not a correlate","Length contrasts, duration is primary correlate","Length contrasts, duration is not primary correlate (but is still correlate); includes blanks","Length contrasts, duration is not primary correlate (but is still correlate); NO blanks","Length does not contrast, duration is primary correlate","Length does not contrast, duration is not primary correlate (but is still a correlate); includes blanks","Length does not contrast, duration is not primary correlate (but is still a correlate); NO blanks","TO REMOVE FROM DURATION: length contrasts, duration is primary correlate ","TO REMOVE FROM DURATION: length contrasts, duration is not primary correlate but still a correlate)","TO REMOVE FROM DURATION: length does not contrast, duration is primary correlate","TO REMOVE FROM DURATION: length does not contrast, duration is not primary correlate (but is still a correlate)",,"Pitch contrasts, pitch is a primary correlate","Pitch does not contrast, pitch is a primary correlate","Pitch contrasts, pitch is not a primary correlate","Pitch does not contrast, pitch is not a primary correlate",,Has intensity AND has pitch,Has intensity and DOES NOT have pitch,"Does NOT have intensity, HAS pitch",Has intensity AND pitch and DOES NOT have duration,Has duration AND intensity but NOT pitch,Has duration AND pitch but NOT intensity,,"Is binary, has final lapse","Is binary, does not have final lapse","Has final lapse, has duration as a correlate","Has final lapse, does not have duration as a correlate","Does not have final lapse, has duration as a correlate","Does not have final lapse, does not have duration as a correlate",,"Has final lapse, has duration as a correlate, is leftward","Has final lapse, does not have duration as a correlate, is leftward","Does not have final lapse, has duration as a correlate, is leftword","Does not have final lapse, does not have duration as a correlate, is leftword",,"Has final lapse, is leftward","Does not have final lapse, is leftward","Has final lapse, is rightward","Does not have final lapse, is rightward"
Italian,Indo-European,Italic,1,1,,0,1,1,0,,1,0,,0,1,,"D‰ÛªImperio & Rosenthall (1999); Alfano, Llisterri, & Savy (2007); Crosswhite (2001)",,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Jaqaru,Aymaran,Jaqaru,1,1,,0,0,1,0,2,0,1,,0,0,,Hardman (1966),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Jarawara,Arauan,,1,1,,0,0,0,1,3,0,1,,0,0,,Dixon (2004),,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Jingulu,Australian,West Barkly,2,1,,0,1,0,1,,0,1,,0,,,"Pensalfini (1997, 2003)",TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Kabardian,Northwest Caucasian,Circassian,0,1,,,1,1,1,2,0,3,,0,,,"Colarusso (1992), Gordon & Applebaum (2010)",,,,,TRUE,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Kadiweu (Non-Noble),Guaicuruan,,3,1,,0,0,0,1,3,0,1,,0,,,Sandalo (1997),,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Kamass,Uralic,Samoyed,0,0,,,0,0,1,3,1,3,,0,,,"Simoncsics (1998), KÌ_nnap (1999)",,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Kaqchikel,Mayan,Quichean‰ÛÒMamean,0,1,,,1,0,1,,0,0,,0,,,"Berinstein (1979), Bennett (to appear); StressTyp",,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Karitiana,Tupian,Arikem,1,1,,0,1,1,1,3,0,1,,0,0,,Everett (2006),TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Kashibo-Kakataibo,Panoan,Mainline Panoan,1,0,,0,1,0,0,1,1,3,,1,1,,Biondi (2011),,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Konkow,Maiduan,Konkow,0,0,,,0,1,1,,0,1,,0,,,Ultan (1967),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Koromfe,Niger‰ÛÒCongo,Atlantic‰ÛÒCongo,0,0,,,0,0,1,3,0,1,,0,,,Rennison (1997),,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Kuku Yalanji,Sino-Tibetan,Pama-Nyungan,0,0,,,0,1,1,,0,0,,0,,,Patz (2002),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
KurtÌ_p,Sino-Tibetan,Tibeto-Kanauri,0,0,,,1,1,0,,0,1,,1,,,Hyslop (2011),TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Lenakel,Austronesian,Malayo-Polynesian,1,1,,0,0,1,1,,0,2,,0,0,,"Lynch (1978, p.c.), Hayes (1995)",,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Leti,Austronesian,Malayo-Polynesian,1,1,,0,1,1,0,1,0,2,,0,1,1,"Hume (1997), Hume et al. (1997)",TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Limilngan,Australian,Limilngan-Wulna,1,1,,0,1,0,1,3,1,0,,0,1,,Harvey (2001),,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Macedonian (Literary),Indo-European,Slavic,0,1,,,1,0,0,1,0,0,,0,,,Friedman (1993),,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maidu (Mountain),Penutian,Maiduan ,1,0,,1,1,1,1,,0,0,,0,1,,"Shipley (1964), Rice (2010)",,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Maithili,Indo-European,Indo-Iranian,0,1,,,1,0,0,1,0,0,,0,,,"Yadav (1980), Mishra (2006)",,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltese,Semitic,Central Semitic,0,1,,,0,1,1,0,1,1,,0,,,Borg & Azzopardi-Alexander (1997),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Manambu,Sepik-Ramu,Sepik,0,1,,,0,0,1,3,0,2,,0,,,Aikhenvald (2008),,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Mangghuer,Mongolic,Shirongolic,0,1,,,0,1,1,,1,0,,0,,,Slater (2003),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Maquiritari/Ye'kuana/Dekwana,Cariban,Guianan Carib,1,1,,0,0,1,1,,0,1,,0,0,,Hall (1988),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Masbatenyo,Austronesian,Malayo-Polynesian,0,1,,,1,1,1,1,0,1,,0,,,Rosero (2014),TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Matses,Panoan,Mayoruna,1,0,,0,1,1,0,,0,3,,0,0,,Fleck (2003),,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,
Mauwake,Trans‰ÛÒNew Guinea,Madang,0,0,,,1,1,1,,0,1,,0,,,BerghÌ_ll or JÌ_rvinen (2010)???,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Menggwa Dla,Senagi,Dera,1,1,,0,0,0,1,3,0,0,,0,0,,Sousa (2006),,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Menominee,Algonquin,Central,1,0,,1,1,1,0,,1,1,,0,1,,"Miner (1979), Milligan (2005)",TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Mixe (Ayutla),Mixe-Zoque,Mixean,1,1,,0,0,1,1,,1,1,,0,0,,"Romero-MÌ©ndez 2009, van der Hulst, Rice, & Wetzels (2011)",,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Mocho,Mayan,Kanjobalan-Chujean,0,1,,,1,1,0,2,0,1,,1,,,Palosaari (2011),TRUE,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,1,1,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Moghol,Mongolic,Mogholi,0,1,,,0,1,0,2,,0,,0,,,Weiers (2003); Jan-Olof Svantesson (2005)?,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
Mohawk,Iroquoian,Northern,0,1,,,0,1,1,2,1,3,,0,,,"Michelson (1983), Hopkins (1988)",,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Mongghul (Karlong),Mongolic,Shirongolic,0,1,,,0,1,1,,0,1,,0,,,Faehndrich (2007),,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Movima,Isolate2,,0,1,,,0,1,0,2,,1,,0,,,Haude (2006),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
"Nahuatl, Balsas",Uto-Aztecan,Southern Uto-Aztecan,0,1,,,1,0,1,,0,0,,1,,,Guion et al (2010),,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Nambikuara,Nambikwaran,Nambikwara,0,0,2,,1,1,1,1,0,0,,1,,,"Lowe (1999), Menno (2001)",,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Nepali,Indo-European,Sanskrit,0,1,,,1,1,1,,1,0,,0,,,"Acharya (1991), Matthews (1998)",,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Ngigua,Oto-Manguean,Popolocan,0,1,2,,1,0,0,1,,3,,1,,,Stark Campbell (2011),,,,TRUE,TRUE,,,,,TRUE,,,,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhanda,Australian,Pama-Nyungan,1,0,,0,1,0,0,,1,1,,0,1,,Blevins (2001),TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
Nisenan,Maiduan,Nisenan,0,0,,,0,1,1,,0,1,,0,,,"Paul (1967), Eatough (1999)",,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Norwegian,Indo-European,Germanic,1,1,,0,1,0,1,,0,3,,1,1,,Lunden (field data),,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Nubi,Arabic Creole,,0,1,,,1,1,1,,1,0,,1,,,Wellens (2005),,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Onondaga,Iroquoian,Northern,0,1,,,0,0,1,3,0,1,,0,,,"Chafe (1970), Michelson (1983)",,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
PÌÁez,Paezan,PÌÁez,0,,,,0,1,0,2,0,1,,0,,,Gerdel (1985),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
Paiute (Northern),Uto-Aztecan,Northern,1,0,,0,1,1,0,1,0,1,,0,0,,"Snapp, Anderson, & Anderson (1982)",TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,
Palula,Indo-European,Indo-Aryan,0,1,,,0,1,1,2,1,1,,0,,,Liljegren (2008),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Pashto,Indo-European,Indo-Iranian,1,1,,0,0,1,1,,0,0,,0,0,,Tegey & Robson (1996),,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
PilagÌÁ,Guaicuruan,Southern,0,0,,,1,1,0,,0,1,,0,,,Vidal (2001),TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Pintupi,Australian,Pama-Nyungan,1,0,,1,1,1,1,3,0,2,,0,1,,Hansen & Hansen (1969),TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,TRUE,,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,
PirahÌ£,Mura,,0,2,,,1,0,1,,0,1,,1,,,Everett (1998),TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Plang,Austroasiatic,Khasi‰ÛÒPalaungic,0,1,,,1,0,1,,,0,,1,,,Giaphong (2004),,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,
Polish,Indo-European,Slavic,1,1,1,0,1,1,1,3,0,0,,0,0,,"Crosswhite (2001), Swan (2003), ÅÅukaszewicz & Rozborski (2008), Newlin-ÅÅukowicz (2012), ÅÅukaszewicz (2015)",,,,,TRUE,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Pomo (Eastern),Hokan,Pomoan,1,0,,1,0,1,1,2,0,2,,0,0,,McLendon (1975),,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,TRUE,,,,TRUE,,,,,TRUE,,,TRUE,,
Pomo (Southern),Hokan,Pomoan,1,1,,0,0,1,0,2,0,1,,0,0,,"Walker (2008, 2013)",,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE
Punjabi,Indo-European,Indo-Aryan,0,,,,1,1,0,,0,1,,1,,,Bhatia (1993),TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,
Q'eqchi' (K'ekchi),Mayan,Quichean‰ÛÒMamean,0,1,,,0,1,1,,0,1,,0,,,Berinstein (1979); Bennett (to appear); Wagner (2014) ,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
Quechua (South Conchucos),Quechuan,,1,1,,0,1,1,1,2,0,1,,0,0,,Hintz (2006),TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE
Saanish,Salishan,Central Salish,1,1,,0,1,1,0,,1,0,,0,1,1,Leonard (2007),,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
Sahaptin (Yakima),Penutian,Plateau Penutian,0,1,,,0,1,1,,0,1,,0,,,"Hargus & Beavert (2005), Jansen (2010)",,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,
