Q'eqchi' (K'ekchi),Mayan,Quicheanâ€“Mamean,,0,1,,,0,1,1,,0,1,,0,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,1
Quechua (South Conchucos),Quechuan,,,1,1,,0,1,1,1,2,0,1,,0,0,,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,1
Saanish,Salishan,Central Salish,,1,1,,0,1,1,0,,1,0,,0,1,1,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,1
Sahaptin (Yakima),Penutian,Plateau Penutian,,0,1,,,0,1,1,,0,1,,0,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,1
Spanish (European),Indo-European,Romance,,0,1,,,0,1,0,2,0,0,,0,,,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,1
Tagalog,Austronesian,Malayo-Polynesian,,0,1,,,1,1,1,,0,0,1,0,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,1
Tepehua (Huehuetla),Totonacan,Tepiman,,1,1,,0,1,,,1,0,1,,0,1,1,TRUE,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,1
Thai,Taiâ€“Kadai,Tai,,0,1,,,1,1,0,1,1,2,,1,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,1,1,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,1
Tongan,Austronesian,Malayo-Polynesian,,1,1,,0?,1,1,1,2,0,1,,0,0,,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,1
Turkish,Turkic,Common Turkic,,0,1,,,0,1,1,2,0,0,,0,,,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,1,1,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,1
