Subject,Sentence,Type,Reading,Blank,NonBlank,NumAboveAverage,PercentAboveAverage
24,E,1,2,0,64,20,0.3125
24,E,2,1,0,74,74,1.0
24,E,2,2,0,65,22,0.3384615384615385
24,E,3,1,0,45,11,0.24444444444444444
24,E,3,2,0,61,18,0.29508196721311475
24,F,1,1,0,40,10,0.25
24,F,1,2,0,38,10,0.2631578947368421
24,F,3,1,0,29,9,0.3103448275862069
24,F,3,2,0,26,2,0.07692307692307693
25,D,1,1,0,51,22,0.43137254901960786
25,D,1,2,0,60,34,0.5666666666666667
25,D,2,1,0,51,14,0.27450980392156865
25,D,2,2,0,39,22,0.5641025641025641
25,D,3,1,0,49,45,0.9183673469387755
25,D,3,2,0,23,23,1.0
25,E,1,1,0,55,15,0.2727272727272727
25,E,1,2,0,88,13,0.14772727272727273
25,E,2,1,0,69,33,0.4782608695652174
25,E,2,2,0,80,32,0.4
25,E,3,1,0,74,9,0.12162162162162163
25,E,3,2,0,55,8,0.14545454545454545
25,F,1,1,0,42,5,0.11904761904761904
25,F,1,2,0,43,7,0.16279069767441862
25,F,3,1,0,24,9,0.375
25,F,3,2,0,22,0,0.0
26,D,1,1,0,41,22,0.5365853658536586
26,D,1,2,0,54,52,0.9629629629629629
26,D,2,1,0,54,37,0.6851851851851852
26,D,2,2,0,63,63,1.0
26,D,3,1,0,23,23,1.0
26,D,3,2,0,51,51,1.0
26,E,1,1,0,61,44,0.7213114754098361
26,E,1,2,0,67,49,0.7313432835820896
26,E,2,1,0,63,52,0.8253968253968254
26,E,2,2,0,60,60,1.0
26,E,3,1,0,10,4,0.4
26,E,3,2,0,50,6,0.12
26,F,1,1,0,32,27,0.84375
26,F,1,2,0,35,20,0.5714285714285714
26,F,3,1,0,21,19,0.9047619047619048
26,F,3,2,0,30,28,0.9333333333333333
27,D,1,1,0,66,31,0.4696969696969697
27,D,1,2,0,68,26,0.38235294117647056
27,D,2,1,0,42,42,1.0
27,D,2,2,0,75,29,0.38666666666666666
27,D,3,1,0,70,36,0.5142857142857142
27,D,3,2,0,78,0,0.0
27,E,1,1,0,71,32,0.4507042253521127
27,E,1,2,0,80,25,0.3125
27,E,2,1,0,58,51,0.8793103448275862
27,E,2,2,0,64,56,0.875
27,E,3,1,0,51,15,0.29411764705882354
27,E,3,2,0,63,20,0.31746031746031744
27,F,1,1,0,49,11,0.22448979591836735
27,F,1,2,0,45,16,0.35555555555555557
27,F,3,1,0,35,11,0.3142857142857143
27,F,3,2,0,29,22,0.7586206896551724
28,D,1,1,0,56,51,0.9107142857142857
28,D,1,2,0,43,26,0.6046511627906976
28,D,2,1,0,54,54,1.0
28,D,2,2,0,58,58,1.0
28,D,3,2,0,47,46,0.9787234042553191
28,E,1,1,0,56,56,1.0
28,E,1,2,0,39,39,1.0
28,E,2,1,0,56,51,0.9107142857142857
28,E,2,2,0,57,57,1.0
28,F,1,1,0,25,25,1.0
28,F,1,2,0,24,24,1.0
28,F,3,1,0,24,24,1.0
28,F,3,2,0,24,21,0.875
29,D,1,1,0,75,72,0.96
29,D,1,2,0,52,42,0.8076923076923077
29,D,2,1,0,5,5,1.0
29,D,3,2,0,23,23,1.0
29,E,1,1,0,63,53,0.8412698412698413
29,E,1,2,0,49,33,0.673469387755102
29,E,2,1,0,42,42,1.0
29,E,2,2,0,57,55,0.9649122807017544
29,F,1,1,0,28,24,0.8571428571428571
29,F,1,2,0,38,32,0.8421052631578947
29,F,3,1,0,22,22,1.0
29,F,3,2,0,23,23,1.0
